id3DHST,RA,DEC,ir_SFR-ladder_total,ir_SFR-ladder_total_Av,gf_n_j,gf_dn_j,gf_f_j,gf_re_j,gf_dre_j,td_Av,ACS_F435W_FLUX,ACS_F775W_FLUX,restalt_restUjohnson,restalt_restVjohnson,td_flag1,td_z_best,td_z_spec,td_z_best_s,td_z_peak_phot,td_lmass,td_sfr,td_sfr_IR,td_sfr_UV,ir_z_ir,ir_SFR-UV_corr,ir_SFR-UV_corr_Error,ir_SFR-IR,ir_UV_beta,ir_A_UV_280,restUjohnson,restVjohnson
17640,53.1638694,-27.8306862,0.307636,0.3755,0.7825,0.0482214,0,0.432144,0.00776627,0.3,0.352231,1.30759,,,0,0.5246,-1.0,3,0.5246,8.83,-99.0,-99.0,0.23039,0.49,0.307636,0.0180678,-0.997621,-1.6304,0.691,-17.197223,-18.192317
17566,53.0809331,-27.830796,0.573223,0.6236,0.2764,0.051246,1,0.5145,0.0206986,0.0,0.261065,0.627282,,,-1,0.77,-1.0,3,0.77,8.4,0.077996,0.0016654,0.076331,0.73,0.573223,0.03318,-2.42058,-1.9,0.425,-17.771698,-18.309791
17411,53.0606623,-27.8309739,0.902688,1.44,1.605,0.0876886,0,0.421734,0.012456,0.2,0.378964,1.32491,,,0,0.604,-1.0,2,0.5991,8.94,0.48315,0.12835,0.3548,0.64,0.902688,0.0884721,-1.85847,-1.3081,0.896,-18.067171,-18.890682
17660,53.0512574,-27.8304018,0.05882,2.382,1.8674,0.163692,0,0.32427,0.0147656,0.0,0.0301654,0.486198,,,0,0.67699,-1.0,2,0.6837,8.91,-99.0,-99.0,0.05247,0.65,0.05882,0.0211492,-1.91056,1.3871,1.462,-16.408001,-18.037697
17683,53.09487,-27.8300961,0.198425,0.3025,1.062,0.248797,0,0.159048,0.0108562,0.1,0.135458,0.309334,,,-1,0.754,-1.0,3,0.754,8.21,0.62349,0.41209,0.2114,0.58,0.198425,0.0187209,-1.5301,-1.3553,0.874,-16.297851,-17.011309
17653,53.1219879,-27.8300975,0.108681,0.1413,0.9492,0.262908,0,0.266382,0.028504,0.2,0.0749384,0.189888,,,-1,0.6677,-1.0,3,0.6677,7.97,0.27144,0.1698,0.10164,0.58,0.108681,0.00990737,-1.5301,-1.5598,0.748,-15.79024,-16.447597
17656,53.1073778,-27.8298898,0.0778216,0.1387,0.2,0.611982,2,0.472836,0.597423,0.0,-0.000150799,0.028016,,,-1,0.8889,-1.0,3,0.8889,7.54,-99.0,-99.0,0.043661,0.93,0.0778216,0.0101667,-3.78794,-1.2176,0.929,-14.745802,-16.028545
17661,53.1995881,-27.8298366,2.54674,3.836,5.9092,2.72943,0,0.048234,0.0177023,0.5,0.018835,0.0686558,,,-1,0.757,-1.0,3,0.757,7.6,0.29852,0.26722,0.031298,3.01,2.54674,0.321562,-169.896,-1.393,0.855,-18.850366,-19.315514
17721,53.2043813,-27.8299173,0.119241,0.2916,1.8749,0.586872,0,0.398178,0.0644351,0.6,0.0374611,0.190142,,,-1,0.8159,-1.0,3,0.8159,8.23,-99.0,-99.0,0.11557,0.69,0.119241,0.00815717,-2.14546,-0.9033,0.997,-15.973369,-17.027615
17684,53.1163321,-27.8302806,0.602555,0.7471,0.8368,0.136295,0,0.439752,0.0260281,0.2,0.210955,0.489586,,,-1,0.7753,-1.0,3,0.7753,8.73,0.42014,0.085651,0.33449,0.78,0.602555,0.0416048,-2.78306,-1.5858,0.746,-17.683777,-18.331427
