FIELD_x,ID_x,RA_x_x,DEC_x_x,Z_50_x,Z_ERR_x,PAB_FLUX_x,PAB_FLUX_ERR_x,OBS_PAB_x,id3DHST_x,ir_SFR-ladder_total_x,ir_SFR-ladder_total_Av_x,gf_n_j_x,gf_dn_j_x,gf_f_j_x,gf_re_j_x,gf_dre_j_x,td_Av_x,ACS_F435W_FLUX_x,ACS_F775W_FLUX_x,restalt_restUjohnson_x,restalt_restVjohnson_x,td_flag1_x,td_z_best_x,td_z_spec_x,td_z_best_s_x,td_z_peak_phot_x,td_lmass_x,td_sfr_x,td_sfr_IR_x,td_sfr_UV_x,ir_z_ir_x,ir_SFR-UV_corr_x,ir_SFR-UV_corr_Error_x,ir_SFR-IR_x,ir_UV_beta_x,ir_A_UV_280_x,DL_x,PAB_L_x,PAB_L_ERR_x,SIGMA_1_x,PAB_SFR_x,PAB_SFR_ERR_x,UV_SFR_ERR_x,PAB_SFR_EX2_x,PAB_SFR_EX2_ladder_x,PAB_SFR_EX2_ERR_x,PAB_SFR_LL_x,PAB_SFR_EX2_LL_x,PAB_SFR_LL_1SIGMA_x,PAB_SFR_EX_LL_1SIGMA_x,FIELD_y,ID_y,RA_x_y,DEC_x_y,Z_50_y,Z_ERR_y,PAB_FLUX_y,PAB_FLUX_ERR_y,OBS_PAB_y,id3DHST_y,ir_SFR-ladder_total_y,ir_SFR-ladder_total_Av_y,gf_n_j_y,gf_dn_j_y,gf_f_j_y,gf_re_j_y,gf_dre_j_y,td_Av_y,ACS_F435W_FLUX_y,ACS_F775W_FLUX_y,restalt_restUjohnson_y,restalt_restVjohnson_y,td_flag1_y,td_z_best_y,td_z_spec_y,td_z_best_s_y,td_z_peak_phot_y,td_lmass_y,td_sfr_y,td_sfr_IR_y,td_sfr_UV_y,ir_z_ir_y,ir_SFR-UV_corr_y,ir_SFR-UV_corr_Error_y,ir_SFR-IR_y,ir_UV_beta_y,ir_A_UV_280_y,DL_y,PAB_L_y,PAB_L_ERR_y,SIGMA_1_y,PAB_SFR_y,PAB_SFR_ERR_y,UV_SFR_ERR_y,PAB_SFR_EX2_y,PAB_SFR_EX2_ladder_y,PAB_SFR_EX2_ERR_y,PAB_SFR_LL_y,PAB_SFR_EX2_LL_y,PAB_SFR_LL_1SIGMA_y,PAB_SFR_EX_LL_1SIGMA_y,id,sfrratio,sfrratio_calz,calzfactor,sfrratio_mw,mwfactor
GN1,37683,189.30608926,62.360349807,0.2774810736218118,0.0011443883411716,3.9078466906508296,1.36705420761725,16377.307363831627,37683,1.57008,1.57008,0.8085,0.0706395,0,0.690642,0.0231143,0.7,4.99338,12.17853,-18.532061,-19.200056,0,0.2195,-1.0,3,0.2195,8.61,0.75561,0.3222,0.4334,0.28,1.84496,0.316932,0.731772,-1.0059,0.981,1437.2959270090785,9.658781385146626e+39,3.378862780008598e+39,7.115943023709629,-0.0350776635525278,0.1518231325515678,0.0745536423553898,-0.3010646183470157,-0.2309994450530966,0.169140501259238,-1.1272307963149188,-1.3932177511094068,-1.3150572612310327,-1.5810442160255207,GN1,37683,189.30608926,62.360349807,0.2774810736218118,0.0011443883411716,3.9078466906508296,1.36705420761725,16377.307363831627,37683,1.57008,1.57008,0.8085,0.0706395,0,0.690642,0.0231143,0.7,4.99338,12.17853,-18.532061,-19.200056,0,0.2195,-1.0,3,0.2195,8.61,0.75561,0.3222,0.4334,0.28,1.84496,0.316932,0.731772,-1.0059,0.981,1437.2959270090785,9.658781385146626e+39,3.378862780008598e+39,7.115943023709629,-0.0350776635525278,0.1518231325515678,0.0745536423553898,-0.3010646183470157,-0.2309994450530966,0.169140501259238,-1.1272307963149188,-1.3932177511094068,-1.3150572612310327,-1.5810442160255207,37683,-0.3,-0.13,1.47,-0.14,1.43
GN2,18157,189.18229328,62.23245815499999,0.1968138893998585,0.0270637658979243,3.88996026806824,1.62764684413804,15343.154062106189,18157,0.616173,1.106,1.1696,0.432825,0,1.16805,0.242844,0.7,5.02153,15.99987,-17.627013,-18.692137,0,0.2013,0.2013,1,0.2078,8.96,0.29487,0.046595,0.24828,0.2,0.616173,0.0958844,-0.094367,-1.2265,0.927,973.9995107578956,4.415247691359237e+39,1.8474389134307117e+39,7.376507986700897,-0.3750449278795855,0.181595358737869,0.067535951104641,-0.164747591987225,-0.164747591987225,0.1937472038681947,-1.4652057086144763,-1.254908372722116,-1.6530321735305904,-1.44273483763823,GN2,18157,189.18229328,62.23245815499999,0.1968138893998585,0.0270637658979243,3.88996026806824,1.62764684413804,15343.154062106189,18157,0.616173,1.106,1.1696,0.432825,0,1.16805,0.242844,0.7,5.02153,15.99987,-17.627013,-18.692137,0,0.2013,0.2013,1,0.2078,8.96,0.29487,0.046595,0.24828,0.2,0.616173,0.0958844,-0.094367,-1.2265,0.927,973.9995107578956,4.415247691359237e+39,1.8474389134307117e+39,7.376507986700897,-0.3750449278795855,0.181595358737869,0.067535951104641,-0.164747591987225,-0.164747591987225,0.1937472038681947,-1.4652057086144763,-1.254908372722116,-1.6530321735305904,-1.44273483763823,18157,-0.16,0.0,1.47,-0.01,1.43
GN2,21693,189.2325241499276,62.24847399031422,0.2819808192873829,0.0234621822719297,2.51928899395695,1.4327140984393398,16434.99410326425,21693,0.0238438,0.02827,1.7696,0.995716,0,0.853224,0.297149,0.2,0.37442,2.41811,-14.612048,-16.37718,0,0.30604,-1.0,2,0.2798,8.75,0.12598,0.059522,0.06646,0.19,0.0238438,0.0017389,-0.0831503,-1.707,0.622,1464.121519596728,6.461370825090574e+39,3.674567347595885e+39,7.328494061863346,-0.2096753336124948,0.246814843479326,0.0316511042702924,1.4129491960442182,1.4129491960442182,0.2488360089762998,-1.1111689382338596,0.5114555914228534,-1.2989954031499735,0.3236291265067395,GN2,21693,189.2325241499276,62.24847399031422,0.2819808192873829,0.0234621822719297,2.51928899395695,1.4327140984393398,16434.99410326425,21693,0.0238438,0.02827,1.7696,0.995716,0,0.853224,0.297149,0.2,0.37442,2.41811,-14.612048,-16.37718,0,0.30604,-1.0,2,0.2798,8.75,0.12598,0.059522,0.06646,0.19,0.0238438,0.0017389,-0.0831503,-1.707,0.622,1464.121519596728,6.461370825090574e+39,3.674567347595885e+39,7.328494061863346,-0.2096753336124948,0.246814843479326,0.0316511042702924,1.4129491960442182,1.4129491960442182,0.2488360089762998,-1.1111689382338596,0.5114555914228534,-1.2989954031499735,0.3236291265067395,21693,1.41,1.46,1.12,1.46,1.11
GN3,35455,189.33207441,62.32866916999999,0.2059586465931771,0.1536723894337555,0.8165377454689601,0.5576697608683531,15460.38984932453,35455,0.301975,0.7115,0.9241,0.521552,0,0.217248,0.0349809,0.1,1.0105,1.82397,-16.513325,-16.889318,0,0.2469,0.2469,1,0.2474,7.69,0.16259,0.031729,0.13086,0.25,0.301975,0.0407923,-0.165181,-0.9712,0.987,1024.79335593064,1.0259856739213652e+39,7.007161501168276e+38,7.020517283848955,-1.0088587033375944,0.296408436180573,0.0586269002400861,-0.488829693276644,-0.488829693276644,0.3021507479235717,-1.4210505839315175,-0.9010215738705672,-1.6088770488476314,-1.088848038786681,GN3,35455,189.33207441,62.32866916999999,0.2059586465931771,0.1536723894337555,0.8165377454689601,0.5576697608683531,15460.38984932453,35455,0.301975,0.7115,0.9241,0.521552,0,0.217248,0.0349809,0.1,1.0105,1.82397,-16.513325,-16.889318,0,0.2469,0.2469,1,0.2474,7.69,0.16259,0.031729,0.13086,0.25,0.301975,0.0407923,-0.165181,-0.9712,0.987,1024.79335593064,1.0259856739213652e+39,7.007161501168276e+38,7.020517283848955,-1.0088587033375944,0.296408436180573,0.0586269002400861,-0.488829693276644,-0.488829693276644,0.3021507479235717,-1.4210505839315175,-0.9010215738705672,-1.6088770488476314,-1.088848038786681,35455,-0.49,-0.46,1.06,-0.47,1.05
GN4,24611,189.3590578192805,62.26414012808544,0.2623648743074986,0.0152584823257592,3.99465281974288,1.63838167271188,16183.517688622132,24611,0.757398,1.119,2.5339,0.374281,0,1.32708,0.122551,0.2,2.28516,6.66924,-17.571467,-18.432024,0,0.2662,0.2662,1,0.2943,8.91,0.21534,0.0075288,0.20781,0.27,0.757398,0.0985332,-0.201113,-1.4197,0.84,1347.9197270767515,8.683594363837979e+39,3.561521489092026e+39,7.390333953638494,-0.0813004719128471,0.1780023641710931,0.0564609476127478,0.0393753741073501,0.0393753741073501,0.1867422829886898,-1.1829951273847996,-1.0623192813646023,-1.3708215923009135,-1.2501457462807162,GN4,24611,189.3590578192805,62.26414012808544,0.2623648743074986,0.0152584823257592,3.99465281974288,1.63838167271188,16183.517688622132,24611,0.757398,1.119,2.5339,0.374281,0,1.32708,0.122551,0.2,2.28516,6.66924,-17.571467,-18.432024,0,0.2662,0.2662,1,0.2943,8.91,0.21534,0.0075288,0.20781,0.27,0.757398,0.0985332,-0.201113,-1.4197,0.84,1347.9197270767515,8.683594363837979e+39,3.561521489092026e+39,7.390333953638494,-0.0813004719128471,0.1780023641710931,0.0564609476127478,0.0393753741073501,0.0393753741073501,0.1867422829886898,-1.1829951273847996,-1.0623192813646023,-1.3708215923009135,-1.2501457462807162,24611,0.04,0.09,1.12,0.08,1.11
GS3,42593,53.155797828,-27.71195152799999,0.2447388634159697,0.018347940816205,2.10359105278168,0.7670305819894769,15957.552228992732,42593,0.130418,0.2694,1.6648,0.0441981,0,0.222708,0.00252128,0.1,0.696288,2.56394,-16.03573,-17.124577,0,0.25358,-1.0,2,0.2446,8.42,0.07765,0.0056813,0.071969,0.24,0.130418,0.0230464,-0.148928,-1.108,0.96,1245.1662663566403,3.9021902274017706e+39,1.42285223983992e+39,7.709023943585502,-0.4286915630560131,0.1582490437688612,0.0766929227560612,0.4559709010604607,0.4559709010604607,0.1758538150129991,-1.2518684932703508,-0.367206029153877,-1.4396949581864646,-0.5550324940699909,GS3,42593,53.155797828,-27.71195152799999,0.2447388634159697,0.018347940816205,2.10359105278168,0.7670305819894769,15957.552228992732,42593,0.130418,0.2694,1.6648,0.0441981,0,0.222708,0.00252128,0.1,0.696288,2.56394,-16.03573,-17.124577,0,0.25358,-1.0,2,0.2446,8.42,0.07765,0.0056813,0.071969,0.24,0.130418,0.0230464,-0.148928,-1.108,0.96,1245.1662663566403,3.9021902274017706e+39,1.42285223983992e+39,7.709023943585502,-0.4286915630560131,0.1582490437688612,0.0766929227560612,0.4559709010604607,0.4559709010604607,0.1758538150129991,-1.2518684932703508,-0.367206029153877,-1.4396949581864646,-0.5550324940699909,42593,0.46,0.48,1.06,0.48,1.05
GS3,35433,53.14152524699999,-27.745829142,0.2563797685002024,0.0178869919184188,1.92699766753314,1.31215388335459,16106.788632172596,35433,0.203143,0.2201,1.1426,0.035694,0,0.864042,0.0152462,0.1,1.13647,3.17359,-17.078068,-17.878022,0,0.26934,-1.0,2,0.2728,8.45,-99.0,-99.0,0.12115,0.29,0.203143,0.0159628,-0.241874,-1.9494,0.372,1312.8506424054517,3.973784030960555e+39,2.705875692372977e+39,7.320042788844346,-0.4207957398207824,0.2955243771025987,0.0341033419807721,0.2714023983888062,0.2714023983888062,0.2974856221670831,-1.2058925440567023,-0.5136944058471137,-1.3937190089728162,-0.7015208707632276,GS3,35433,53.14152524699999,-27.745829142,0.2563797685002024,0.0178869919184188,1.92699766753314,1.31215388335459,16106.788632172596,35433,0.203143,0.2201,1.1426,0.035694,0,0.864042,0.0152462,0.1,1.13647,3.17359,-17.078068,-17.878022,0,0.26934,-1.0,2,0.2728,8.45,-99.0,-99.0,0.12115,0.29,0.203143,0.0159628,-0.241874,-1.9494,0.372,1312.8506424054517,3.973784030960555e+39,2.705875692372977e+39,7.320042788844346,-0.4207957398207824,0.2955243771025987,0.0341033419807721,0.2714023983888062,0.2714023983888062,0.2974856221670831,-1.2058925440567023,-0.5136944058471137,-1.3937190089728162,-0.7015208707632276,35433,0.27,0.3,1.06,0.29,1.05
GS4,26646,53.18153215101032,-27.78797073500447,0.1998051779170048,0.01206030887583,1.1889637142179,0.679599385030883,15381.502380896,26646,0.167533,0.2697,0.5151,0.0145457,0,0.349662,0.00218237,0.1,1.0505,1.69089,-16.047064,-16.475255,0,0.2122,0.2122,1,0.2106,7.48,-99.0,-99.0,0.10211,0.21,0.167533,0.0234183,-0.106516,-1.3277,0.887,990.5642877823304,1.395810185016612e+39,7.978306924035238e+38,7.718322572961929,-0.8751736370171486,0.2480699196925608,0.0606659117905129,-0.0992740024575172,-0.0992740024575172,0.2553801830793608,-1.4505578529350984,-0.6746582183754671,-1.6383843178512123,-0.862484683291581,GS4,26646,53.18153215101032,-27.78797073500447,0.1998051779170048,0.01206030887583,1.1889637142179,0.679599385030883,15381.502380896,26646,0.167533,0.2697,0.5151,0.0145457,0,0.349662,0.00218237,0.1,1.0505,1.69089,-16.047064,-16.475255,0,0.2122,0.2122,1,0.2106,7.48,-99.0,-99.0,0.10211,0.21,0.167533,0.0234183,-0.106516,-1.3277,0.887,990.5642877823304,1.395810185016612e+39,7.978306924035238e+38,7.718322572961929,-0.8751736370171486,0.2480699196925608,0.0606659117905129,-0.0992740024575172,-0.0992740024575172,0.2553801830793608,-1.4505578529350984,-0.6746582183754671,-1.6383843178512123,-0.862484683291581,26646,-0.1,-0.08,1.06,-0.08,1.05
GS4,27535,53.17032351500001,-27.78526213799999,0.2765414173313187,0.0064419365237824,0.404378262357443,0.363114032402235,16365.260970187506,27535,0.173189,0.3047,0.9573,0.0212878,0,0.246612,0.00164711,0.0,0.451604,1.04433,-18.329894,-18.80492,0,0.27443,-1.0,2,0.2787,7.94,-99.0,-99.0,0.077279,0.31,0.173189,0.0192415,-0.287809,-1.218,0.929,1431.706778406437,9.917184504988839e+38,8.905198896424258e+38,7.8137825680997715,-1.0236116068277852,0.3897130601032895,0.0482179064490239,-0.2621319114201434,-0.2621319114201434,0.3926846517466617,-1.1306150238205888,-0.369135328412947,-1.3184414887367026,-0.5569617933290609,GS4,27535,53.17032351500001,-27.78526213799999,0.2765414173313187,0.0064419365237824,0.404378262357443,0.363114032402235,16365.260970187506,27535,0.173189,0.3047,0.9573,0.0212878,0,0.246612,0.00164711,0.0,0.451604,1.04433,-18.329894,-18.80492,0,0.27443,-1.0,2,0.2787,7.94,-99.0,-99.0,0.077279,0.31,0.173189,0.0192415,-0.287809,-1.218,0.929,1431.706778406437,9.917184504988839e+38,8.905198896424258e+38,7.8137825680997715,-1.0236116068277852,0.3897130601032895,0.0482179064490239,-0.2621319114201434,-0.2621319114201434,0.3926846517466617,-1.1306150238205888,-0.369135328412947,-1.3184414887367026,-0.5569617933290609,27535,-0.26,-0.26,1.0,-0.26,1.0
